sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6276;4.0011;8.0807;1.31;-64.75;31.13;182.52;-21.24;3.91;86.0;50.0;3.766;13;2014-01-15 20:34:39:231
-0.6276;4.1776;10.4735;0.38;-64.12;31.13;182.7;-26.27;4.44;86.0;50.0;3.766;217;2014-01-15 20:34:39:435
-0.4707;4.2855;10.7285;-0.12;-63.56;31.13;181.46;-21.42;3.35;86.0;50.0;3.766;417;2014-01-15 20:34:39:635
-0.2648;4.1188;7.4531;-0.31;-63.5;31.06;181.1;-21.76;2.51;86.0;50.0;3.766;617;2014-01-15 20:34:39:835
-0.304;4.3149;8.9829;-0.75;-61.94;30.69;180.9;-28.91;2.03;86.0;50.0;3.766;818;2014-01-15 20:34:40:036
-0.5884;4.9033;10.4147;-1.56;-60.94;31.25;180.18;-29.38;2.23;86.0;50.0;3.766;1018;2014-01-15 20:34:40:236
-0.4707;3.8246;7.8453;-2.0;-61.37;31.13;179.84;-25.11;3.33;86.0;50.0;3.766;1218;2014-01-15 20:34:40:436
-0.4119;4.9818;10.1597;-2.37;-62.12;30.0;179.83;-25.95;3.43;86.0;50.0;3.766;1432;2014-01-15 20:34:40:650
-0.4315;3.7265;9.4536;-2.31;-63.06;29.56;179.36;-26.1;2.32;86.0;50.0;3.766;1632;2014-01-15 20:34:40:850
-0.9807;3.9815;8.1591;-2.0;-63.31;28.44;179.44;-21.49;2.61;86.0;50.0;3.766;1834;2014-01-15 20:34:41:052
-1.1964;4.8249;11.3365;-1.94;-62.62;27.75;181.13;-25.85;6.85;86.0;50.0;3.766;2043;2014-01-15 20:34:41:261
-1.0689;4.3443;8.9829;-1.37;-62.31;27.06;180.79;-22.94;6.02;86.0;50.0;3.766;2246;2014-01-15 20:34:41:464
