ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.3925,1.8535,10.9442,50.75,-16.87,-1.81,253.02,-9.54,7.25,86,90,4.191,10,2014-02-01 22:21:55:384
-1.6083,1.8731,10.9834,50.31,-11.81,3.31,255.81,-12.7,2.43,86,90,4.191,211,2014-02-01 22:21:55:585
-0.1667,1.5396,10.552,50.19,-11.81,5.06,256.28,-8.39,2.73,86,90,4.191,411,2014-02-01 22:21:55:785
-0.2157,2.2065,6.9823,49.75,-12.44,8,255.21,-19.96,1.42,86,90,4.191,614,2014-02-01 22:21:55:988
0.353,2.5791,11.5326,49.75,-12.25,8.44,254.51,-11.2,-2.48,86,90,4.191,819,2014-02-01 22:21:56:193
0.5982,2.0202,8.5514,50.13,-11.81,8.63,254.23,-13.01,-1.65,86,90,4.191,1023,2014-02-01 22:21:56:397
-0.2942,1.7652,10.3264,50.81,-10.31,8.88,254.77,-14.37,-2.74,86,90,4.191,1226,2014-02-01 22:21:56:600
-0.3923,1.9417,10.8265,50.88,-8.81,10.13,259.6,-7.9,6.34,86,90,4.191,1426,2014-02-01 22:21:56:800
-0.5688,2.2261,6.8254,50.81,-8.75,11.38,258.57,-12.07,3.59,86,90,4.191,1626,2014-02-01 22:21:57:000
-0.6276,2.334,10.9834,50.44,-9.12,13.06,257.56,-14.72,3.67,86,90,4.191,1826,2014-02-01 22:21:57:200
-0.2256,1.9908,9.8067,49.56,-10.31,13.25,257.2,-8.06,2.15,86,90,4.191,2026,2014-02-01 22:21:57:400
-1.0199,2.1084,9.3359,49.44,-11.12,12.81,253.85,-16.82,0.33,86,90,4.191,2239,2014-02-01 22:21:57:613
-0.0785,1.4122,12.6702,47.63,-12.94,12.25,253.96,-10.6,1.8,86,90,4.191,2445,2014-02-01 22:21:57:819
-1.0199,2.5497,7.0608,46.63,-13.75,12.06,253.5,-18.14,7.09,86,90,4.191,2649,2014-02-01 22:21:58:023
-0.7355,2.5007,9.6694,46,-14.25,12.13,252.42,-19.67,8.22,86,90,4.191,2852,2014-02-01 22:21:58:226
-0.6865,2.5497,11.1011,45.38,-14.75,10.94,252.2,-7.62,4.23,86,90,4.191,3053,2014-02-01 22:21:58:427
-1.3925,1.8535,10.9442,50.75,-16.87,-1.81,253.02,-9.54,7.25,86,90,4.191,10,2014-02-01 22:21:55:384
-1.6083,1.8731,10.9834,50.31,-11.81,3.31,255.81,-12.7,2.43,86,90,4.191,211,2014-02-01 22:21:55:585
-0.1667,1.5396,10.552,50.19,-11.81,5.06,256.28,-8.39,2.73,86,90,4.191,411,2014-02-01 22:21:55:785
-0.2157,2.2065,6.9823,49.75,-12.44,8,255.21,-19.96,1.42,86,90,4.191,614,2014-02-01 22:21:55:988
