ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2648,1.9711,10.4343,21.25,-48,-1.56,204.18,-10.83,-2,87.8,50,3.78,12,2014-01-18 21:27:43:220
-0.4315,1.9711,8.6691,20.63,-48.19,0.81,203.95,-10.69,-1.45,87.8,50,3.78,213,2014-01-18 21:27:43:421
-0.4217,2.2065,10.905,20.13,-48.94,1.81,202.69,-12.79,2.85,87.8,50,3.78,413,2014-01-18 21:27:43:621
0.304,1.7456,10.2774,19.19,-49.5,4.06,202.48,-11.43,2.21,87.8,50,3.78,614,2014-01-18 21:27:43:822
0.255,1.7456,9.1006,18.31,-49.94,5,199.56,-9.64,-1.69,87.8,50,3.78,817,2014-01-18 21:27:44:025
0.1667,1.9123,11.2973,17.19,-49.75,5.5,199.6,-10.85,-1.6,87.8,50,3.78,1028,2014-01-18 21:27:44:236
0.1275,1.4514,9.5321,15.56,-50.06,5.31,197.6,-8.66,-0.77,87.8,50,3.78,1240,2014-01-18 21:27:44:448
-0.657,1.4514,8.4926,14.25,-50.19,5.94,196.1,-9.87,4.85,87.8,50,3.78,1459,2014-01-18 21:27:44:667
0.1569,1.6671,11.16,13.06,-50.25,6.38,194.83,-8.69,3,87.8,50,3.78,1659,2014-01-18 21:27:44:867
0.0392,1.6671,8.9437,12,-50.25,6.13,193.27,-9.07,-1.13,87.8,50,3.78,1864,2014-01-18 21:27:45:072
0.0392,1.6671,10.1205,11.56,-49.69,6.31,193.4,-10.56,-0.25,87.8,50,3.78,2067,2014-01-18 21:27:45:275
-0.1765,1.5985,11.0325,10.56,-49.62,6,192.54,-9.35,-0.22,87.8,50,3.78,2275,2014-01-18 21:27:45:483
-0.2354,0.912,10.1205,9.44,-50.56,6.06,191.37,-8.44,1.17,87.8,50,3.78,2480,2014-01-18 21:27:45:688
-0.3923,1.118,8.9044,9,-51.94,6.81,190.06,-7.15,2.52,87.8,50,3.78,2680,2014-01-18 21:27:45:888
0.2746,1.4906,10.5912,8.69,-53.06,7,190.06,-7.15,2.52,87.8,50,3.78,2899,2014-01-18 21:27:46:107
0.0981,1.7358,8.7868,8.56,-55.12,7.56,189.12,-8.78,-0.52,87.8,50,3.78,3099,2014-01-18 21:27:46:307
0.1569,1.8535,10.0028,10.5,-55.5,7.31,190.16,-11.17,-0.64,87.8,50,3.78,3300,2014-01-18 21:27:46:508
0.0981,1.8535,11.0227,11.69,-55.75,6.94,190.93,-10.5,-0.9,87.8,50,3.78,3501,2014-01-18 21:27:46:709
-0.0098,1.4122,9.5321,12.13,-55.87,6.94,191.95,-9.54,-0.51,87.8,50,3.78,3706,2014-01-18 21:27:46:914
-0.0098,1.4122,9.5321,12.13,-55.87,6.94,191.95,-9.54,-0.51,87.8,50,3.78,3706,2014-01-18 21:27:46:914
