sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.8826;1.8829;10.7481;22.19;-48.62;-0.56;204.45;-9.9;-4.69;87.8;100.0;4.239;3;2014-01-30 21:39:12:957
0.6963;1.8142;9.6105;21.19;-51.06;0.5;202.45;-11.89;-4.63;87.8;100.0;4.239;204;2014-01-30 21:39:13:158
0.7061;1.7946;10.1205;21.0;-52.56;1.38;201.66;-10.66;-4.14;87.8;100.0;4.239;417;2014-01-30 21:39:13:371
0.6374;1.7946;8.8848;20.5;-53.62;3.44;201.03;-10.03;-3.99;87.8;100.0;4.239;628;2014-01-30 21:39:13:582
0.5492;2.3144;11.1796;19.75;-53.06;4.13;200.42;-11.63;-3.54;87.8;100.0;4.239;830;2014-01-30 21:39:13:784
0.5001;2.079;9.4928;18.88;-52.75;5.25;199.4;-12.22;-3.22;87.8;100.0;4.239;1031;2014-01-30 21:39:13:985
0.255;2.5791;9.0417;18.5;-52.56;5.63;199.3;-12.34;-3.02;87.8;100.0;4.239;1231;2014-01-30 21:39:14:185
0.5001;2.5791;10.2774;17.88;-52.44;6.44;198.94;-14.14;-1.43;87.8;100.0;4.239;1431;2014-01-30 21:39:14:385
0.8238;2.3046;8.5122;16.81;-53.0;7.25;197.33;-14.07;-2.79;87.8;100.0;4.239;1632;2014-01-30 21:39:14:586
0.9807;2.3536;9.5321;16.0;-53.31;7.94;195.77;-15.08;-5.53;87.8;100.0;4.239;1832;2014-01-30 21:39:14:786
0.8041;2.3732;10.7873;15.69;-53.31;7.94;195.69;-13.8;-5.87;87.8;100.0;4.239;2032;2014-01-30 21:39:14:986
0.5786;2.0104;9.2967;14.5;-54.37;8.56;194.53;-12.9;-4.61;87.8;100.0;4.239;2244;2014-01-30 21:39:15:198
0.2942;2.2261;9.2379;13.19;-55.5;9.38;192.54;-12.18;-3.56;87.8;100.0;4.239;2445;2014-01-30 21:39:15:399
0.8826;2.2261;10.6696;11.81;-56.37;9.75;192.64;-13.54;-1.82;87.8;100.0;4.239;2647;2014-01-30 21:39:15:601
0.8826;2.383;8.8652;10.56;-57.0;10.69;189.91;-11.75;-4.73;87.8;100.0;4.239;2847;2014-01-30 21:39:15:801
0.9316;2.383;9.4928;10.06;-57.37;10.94;188.66;-14.98;-5.69;87.8;100.0;4.239;3047;2014-01-30 21:39:16:001
0.1569;2.4419;11.2384;9.81;-57.44;11.56;188.67;-14.03;-5.61;87.8;100.0;4.239;3253;2014-01-30 21:39:16:207
0.9807;1.6475;9.6105;9.56;-60.0;12.63;187.14;-12.18;-6.57;87.8;100.0;4.239;3455;2014-01-30 21:39:16:409
0.8728;2.4713;8.5514;9.5;-61.44;13.38;187.75;-11.47;-6.3;87.8;100.0;4.239;3660;2014-01-30 21:39:16:614
0.7061;2.2849;10.4931;9.25;-62.06;14.06;187.18;-14.0;-3.93;87.8;100.0;4.239;3863;2014-01-30 21:39:16:817
0.863;2.3438;9.7086;10.13;-63.31;15.06;187.58;-13.44;-5.05;87.8;100.0;4.239;4087;2014-01-30 21:39:17:041
1.1376;2.3438;8.3258;11.88;-63.69;15.81;188.1;-15.73;-5.95;87.8;100.0;4.239;4288;2014-01-30 21:39:17:242
1.1964;2.6086;10.0616;12.19;-63.75;16.63;188.51;-14.86;-6.64;87.8;100.0;4.239;4488;2014-01-30 21:39:17:442
1.0297;1.5789;9.5321;12.5;-65.19;17.06;188.97;-7.75;-5.26;87.8;100.0;4.239;4691;2014-01-30 21:39:17:645
